"ID","Q10","rPC1","rPC2","rPC3","rPC4","rPC5","rPC6","rPC7"
"SM_20",2.4322687219613,-1.37994500729586,-0.0975396345583517,-0.566030764989179,-0.538061198156995,1.85819039264002,-0.411746031717499,0.543370105839113
"SM_21",2.5509231837533,0.126472244199703,1.7301747365743,-0.160373962881919,-0.778210318560798,0.713495350090961,0.889025919478683,-0.665776931110515
"SM_22",2.35243366339608,-0.527618038074928,1.12919126501229,-0.350978397214032,0.124091599657549,-1.4972885789987,0.985277550166574,-0.573057370393758
"SM_23",2.38852439823656,-0.85522098015419,0.92163275416903,-0.177591111752782,0.546479089161628,-1.10778054300264,1.37411863649836,0.265670817812589
"SM_25",2.90594484684673,0.341438345471877,0.832100995566121,0.63751066375496,-0.719120565089925,-0.106296932717716,1.53896971874055,0.0258910274310891
"SM_26",3.01467663947692,0.737128479666127,1.6839167889576,0.842544448393691,1.67119170503691,0.231748095719675,-0.785062415884328,0.306919724704347
"SM_27",2.22344851184809,-0.331564671238459,1.18411707693975,0.000151314629230181,0.326112811520286,0.742606909973522,0.496932702717166,-0.0792663795929511
"SM_28",3.16600605963167,0.608349287800499,1.67216658879186,0.636273226423231,1.21989911995562,-1.1266882802377,0.448559178769077,-0.183335769733895
"SM_29",2.28730553263361,-0.551917354586841,0.695783989670346,-0.182732588177859,-0.780070751751752,-0.211481005352489,-0.165532512316363,-0.481003675407181
"SM_3",2.51962330897768,-0.455545813011721,1.44112242090906,-0.528609205132318,0.468424261919362,-1.01250842375646,-0.448509506558893,-0.382498965186503
"SM_30",2.19028106581751,-0.64125077693591,0.603626557970086,-0.0936793432208191,-0.807061950196067,-0.579724837072951,-0.0766585729602587,-0.561542962990398
"SM_31",2.91153336923193,-0.127160802510159,0.794369953100546,-0.414742624616518,-0.975730446204147,0.251042567164804,0.803725957764426,-0.0398695403384751
"SM_32",3.37016934016678,1.47223722802548,0.927864148305719,0.645236961109446,1.5811950743454,1.13341683634037,-1.65212314030038,0.32832618363393
"SM_33",3.02567786148239,1.01692027954315,1.37043229328369,0.359680836990692,1.59331919256334,-0.267811858734783,-1.52067816197407,0.115965795005451
"SM_34",3.3338258068805,0.789238721754081,0.814644354450162,0.399546957254813,0.340684649307112,0.338649226844414,-2.05557129728993,0.520412309729871
"SM_35",3.25853770457079,0.599844068117491,1.74521435378196,0.236063460170491,0.866349877577861,0.195810108497736,-1.56866383181674,-1.33220439995271
"SM_36",3.1647344737118,0.935998042892148,0.252312062888584,0.030659855046912,-0.526006640524883,-0.891644195397683,-2.10798935073093,-0.47926808753274
"SM_37",3.09091861975427,0.592239573832381,0.786126833577498,0.523615689085301,-0.622168081900837,0.034705214873526,-1.85077080009681,-0.32146126981545
"SM_38",3.096951002862,0.315357453211246,1.4017142641969,0.0194291117001015,0.24104687382896,0.762958168237669,-0.599993512672765,0.649612900029698
"SM_39",2.57143009537532,0.167174592461544,1.81385413001219,0.160366392192056,-0.392952669357488,0.174239291830515,-0.23576450753551,-0.023852532166818
"SM_4",3.1068377869204,-0.764927640155033,1.38048247039683,-0.623571968540604,1.1667935412324,-0.635405996614136,-0.520598088374821,0.0593233847947048
"SM_40",2.67396749896718,-0.136901130660568,1.45493135845413,0.148455712020483,0.382147948347167,1.1798303899096,-0.801373235034476,-0.572720132004019
"SM_41",2.7640739544801,0.365011425863847,1.20471899629967,-0.0911080983461371,-0.5057254506726,0.48744325332141,-0.579017816666124,0.0253873754840835
"SM_42",2.60162123081905,0.0839835247203163,0.444978088743331,-0.258026134217981,-0.109580012116313,-2.96599459059596,-0.733509134219419,-0.770678219348671
"SM_43",2.64875792932389,0.805305315178713,0.112124905510486,-0.125856222352354,-0.676716582914133,-2.11065390726927,0.974924792780898,4.86762564273905
"SM_44",2.92688672070378,-0.0387264569613616,1.69093929308472,-0.0209253150547912,0.113680918765565,1.54047702087532,0.591116023067643,-0.0883146316891882
"SM_45",2.91456221283548,0.321898312401802,3.19897325251084,1.10689920459272,-0.0111448602559179,0.557750824944368,1.51845015731004,-0.104078724390238
"SM_46",2.71983229745042,0.268838044437067,0.900034400434709,-0.163823859699255,-0.710979475728796,0.712126495004702,1.31251043459624,0.320390697053227
"SM_47",2.65370870689871,0.852340228474066,1.41894059931248,0.356860422429872,-1.08120926606709,0.350111214101217,1.31180716653875,-0.0256172856343824
"SM_48",2.75414668809206,0.534075535886725,0.46543636996408,-0.417442794389515,-1.11394243303348,0.0175778169900272,1.20094310895042,-0.175121089012575
"SM_49",2.86848282954619,0.535378271978838,0.436877194618408,-0.430837963349672,-1.22040254222404,-0.377562747260386,1.46566609911975,-0.560656115095333
"SM_5",2.3663016624216,-1.12420182449856,1.54891582329708,-0.741585354647515,0.605108009718906,-0.135299531176504,-0.180361377199057,-0.127818019822695
"SM_50",3.33631406642228,0.266466688629855,0.489107971821078,-0.40636430825667,-1.2967676957531,-0.0531578635837658,1.72218285472844,-0.283925873249844
"SM_51",2.43258812341384,0.145983104068737,-0.278063663481502,-0.704562552692752,-0.819950430550857,0.528585525879778,-0.75966653299882,-0.0326067091952364
"SM_52",2.96921272245659,1.08743448791335,0.0629629661719441,-0.312753508186825,-0.166636077064462,0.591177826680257,-0.953749666180496,-0.018130790204325
"SM_53",3.10834393832323,1.35620151855157,-0.384400997043306,-0.461791695403966,-0.782267855791891,1.08175419459386,-1.54624149916882,-0.772992725978508
"SM_54",2.98509106108671,1.85738505014846,-1.07523522764127,-0.360436481001022,-1.09723519163954,-0.872452139370967,-2.42208493093605,-0.191778339250122
"SM_55",2.39662544690007,0.925221666533448,-0.183837737000325,-0.301043336631352,-0.253769114338903,0.719968028693059,0.790872026304702,0.662076426826798
"SM_56",2.99140546302602,0.450822594384719,0.547526295040059,-0.219983248120359,-0.0905422085949676,-0.219747822873688,0.683163020659304,0.119245143257205
"SM_57",2.51561102878006,0.181372195877912,0.400580822328777,-0.439589518651418,-0.202154829940928,1.5490592393544,0.149287726757788,0.00447847173949645
"SM_58",2.79155646639841,0.716489223895209,-0.324637837856566,-0.410818118416874,-0.584540544996722,-0.753588854350419,-0.259684102768842,0.00553263236556614
"SM_59",3.2411658877344,1.84924066272132,-0.487034010870205,-0.0525540562526093,-0.485357627191375,0.565674112575703,-1.80386609708161,0.421496874288629
"SM_6",2.03706295408341,-0.979886354746702,1.01165217228935,-0.787046277957462,0.443651149371871,-0.230487182141838,0.144443619959772,-0.803815399572514
"SM_60",2.20010846924456,0.887690115590651,-0.697575893453264,-0.150665989573549,-0.829703977630747,0.253150467639799,1.95428424625256,-0.35030171998313
"SM_61",2.59487502273171,0.814111226271422,-1.11211553319207,-0.0709885107736176,-0.39192059187504,0.193795001663592,0.905981794642366,-0.365866175780013
"SM_7",2.84484880876144,-0.020685944611225,1.35424008835523,-0.53021769181017,1.35162741665648,-1.21334843439315,-0.163005230099086,-0.270215142061117
"SM_8",2.8765596758835,1.1767179160834,0.333205602016293,-0.26871142604479,1.38319785677696,-0.987134721753177,-0.943378656002349,-0.171980769660426
"SM_9",2.73116786260974,0.848566007758707,0.278821948952704,-0.670267277844321,0.0606958946985942,-0.699690376195082,-0.00701405111855341,-0.175164400975271
